createdAt;value
2019-09-11T01:57:11.000Z;6.20
2019-09-11T01:58:11.000Z;5.90
2019-09-11T01:59:11.000Z;4.80
2019-09-11T02:00:11.000Z;4.70
2019-09-11T02:01:11.000Z;4.90
2019-09-11T02:02:11.000Z;5.60
2019-09-11T02:03:12.000Z;5.60
2019-09-11T02:04:12.000Z;5.40
2019-09-11T02:05:12.000Z;4.90
2019-09-11T02:06:12.000Z;4.80
2019-09-11T02:07:12.000Z;5.00
2019-09-11T02:08:12.000Z;4.90
2019-09-11T02:09:12.000Z;4.90
2019-09-11T02:10:12.000Z;5.10
2019-09-11T02:11:12.000Z;5.30
2019-09-11T02:12:12.000Z;4.70
2019-09-11T02:13:13.000Z;4.70
2019-09-11T02:14:13.000Z;5.40
2019-09-11T02:15:13.000Z;4.90
2019-09-11T02:16:13.000Z;4.60
2019-09-11T02:17:13.000Z;4.80
2019-09-11T02:18:13.000Z;6.30
2019-09-11T02:19:13.000Z;6.00
2019-09-11T02:20:13.000Z;4.80
2019-09-11T02:21:13.000Z;5.10
2019-09-11T02:22:13.000Z;5.20
2019-09-11T02:23:13.000Z;4.40
2019-09-11T02:24:14.000Z;5.20
2019-09-11T02:25:14.000Z;5.00
2019-09-11T02:26:14.000Z;5.20
2019-09-11T02:27:14.000Z;5.20
2019-09-11T02:28:14.000Z;5.30
2019-09-11T02:29:14.000Z;5.80
2019-09-11T02:30:14.000Z;6.40
2019-09-11T02:31:14.000Z;5.90
2019-09-11T02:32:14.000Z;6.50
2019-09-11T02:33:14.000Z;6.60
2019-09-11T02:34:14.000Z;6.30
2019-09-11T02:35:15.000Z;5.30
2019-09-11T02:36:15.000Z;5.30
2019-09-11T02:37:15.000Z;6.10
2019-09-11T02:38:15.000Z;6.70
2019-09-11T02:39:15.000Z;5.20
2019-09-11T02:40:15.000Z;5.30
2019-09-11T02:41:15.000Z;5.10
2019-09-11T02:42:15.000Z;6.00
2019-09-11T02:43:15.000Z;5.50
2019-09-11T02:44:15.000Z;6.80
2019-09-11T02:45:16.000Z;6.10
2019-09-11T02:46:16.000Z;6.70
2019-09-11T02:47:16.000Z;7.40
2019-09-11T02:48:16.000Z;6.00
2019-09-11T02:49:16.000Z;6.50
